Survey,id,Municipality,Code_ine,Province,CCAA,Reindustrialization,Renaturalization,Preservation,WeightAsPontes,WeightSpain,filter_$,NearestPowerPlantName,PowerPlantCluster,Dist_to_nearest_plant
1,917,Zaragoza,50297,Zaragoza,7,5,10,10,1.12308304979293,1.12061293958552,0,Power plant Escatrón,Teruel,66.2621296661971
1,916,Zaragoza,50297,Zaragoza,7,8,10,10,1.00960602148161,1.00738549278644,0,Power plant Escatrón,Teruel,66.2621296661971
1,915,Zaragoza,50297,Zaragoza,7,5,5,7,.750819978080943,.749168623720168,0,Power plant Escatrón,Teruel,66.2621296661971
1,914,Zaragoza,50297,Zaragoza,7,10,10,10,.750819978080943,.749168623720168,0,Power plant Escatrón,Teruel,66.2621296661971
1,913,Zaragoza,50297,Zaragoza,7,5,5,5,1.12308304979293,1.12061293958552,0,Power plant Escatrón,Teruel,66.2621296661971
1,912,Zaragoza,50297,Zaragoza,7,10,10,10,.844412549663495,.84255534768847,0,Power plant Escatrón,Teruel,66.2621296661971
1,911,Zaragoza,50297,Zaragoza,7,0,0,10,.95535459746218,.953253389414096,0,Power plant Escatrón,Teruel,66.2621296661971
1,910,Zaragoza,50297,Zaragoza,7,9,10,10,.95535459746218,.953253389414096,0,Power plant Escatrón,Teruel,66.2621296661971
1,909,Alconchel,6007,Badajoz,11,7,5,7,.325479258324308,.324763398852974,0,Power plant Puente Nuevo,Córdoba,198.525808613299
1,908,Calonge i Sant Antoni,17034,Girona,12,5,10,10,1.71991584484558,1.71613305987253,0,Power plant Cercs,Lleida,106.565075411325
1,907,Cifuentes,19086,Guadalajara,10,7,5,8,.325479258324308,.324763398852974,0,Power plant de Escucha,Teruel,150.930955467204
1,905,Burgos,9059,Burgos,9,10,3,2,1.78902598215294,1.78509119626096,0,Power plant Velilla,Palencia,110.990759066177
1,904,Parada de Arriba,37230,Salamanca,9,6,6,8,.325479258324308,.324763398852974,0,Power plant Compostilla II,León,191.611376607322
1,903,Córdoba,14021,Córdoba,15,0,6,8,1.78902598215294,1.78509119626096,0,Power plant Puente Nuevo,Córdoba,35.4756362664016
1,902,Donamaria,31081,Navarra,5,10,1,5,.325479258324308,.324763398852974,0,Power plant Escatrón,Teruel,227.83284338981
1,901,Alanís,41002,Sevilla,15,5,10,10,.325479258324308,.324763398852974,0,Power plant Puente Nuevo,Córdoba,60.9846975706263
1,900,Coirós,15027,Coruna,1,0,8,10,.288135541356472,.28750181570105,1,Power plant Meirama,Coruna,23.6487268732815
1,899,Avilés,33004,Asturias,2, , , ,1.57368403519907,1.57022287264363,0,Power plant Aboño,Asturias,16
1,897,Jaén,23001,Jaén,15,0,8,9,1.42673012691829,1.42359217496507,0,Power plant de Puertollano,Ciudad Real,113.150590120744
1,895,Mundaka,48068,Vizcaya,4,8,10,9,.289349300547048,.288712905348206,0,Power plant Velilla,Palencia,186.710324770479
1,894,Buitrago del Lozoya,28027,Madrid,8,7,6,7,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,229
1,893,Granada,18087,Granada,15,9,10,9,1.42673012691829,1.42359217496507,0,Power plant de Puertollano,Ciudad Real,169.009881389157
1,892,Barrika,48014,Vizcaya,4,6,6,9,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,167.208362500801
1,891,Herrera de Pisuerga,34083,Palencia,9,7,6,9,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,55.4536030342199
1,890,Muros de Nalón,33039,Asturias,2,6,9,6,.301935334274582,.301271257338056,0,Power plant Soto de Ribera,Asturias,35.0025496503495
1,889,Baños de Río Tobía,26026,La Rioja,6,7,7,7,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,181.481197558234
1,887,Ontur,2056,Albacete,10,3,5,5,.289349300547048,.288712905348206,0,Power plant Carboneras,Almería,185.44173273424
1,886,Murcia,30030,Murcia,16,6,9,10,.750819978080943,.749168623720168,0,Power plant Carboneras,Almería,125.568797325632
1,885,Fuentesaúco,49081,Zamora,9,8,7,8,.301935334274582,.301271257338056,0,Power plant La Robla,León,176.800609405783
1,884,Baños de Río Tobía,26026,La Rioja,6,4,8,8,.325479258324308,.324763398852974,0,Power plant Velilla,Palencia,181.481197558234
1,883,Huete,16112,Cuenca,10,0,0,8,.301935334274582,.301271257338056,0,Power plant de Escucha,Teruel,171.971302250298
1,882,Mieres,33037,Asturias,2,0,8,0,.325479258324308,.324763398852974,0,Power plant La Pereda,Asturias,6.25840209059961
1,881,Albalate del Arzobispo,44008,Teruel,7,10,10,10,.289349300547048,.288712905348206,0,Power plant Andorra,Teruel,18.1038005360118
1,880,Cifuentes,19086,Guadalajara,10, , ,8,.289349300547048,.288712905348206,0,Power plant de Escucha,Teruel,150.930955467204
1,879,Almácera,46032,Valencia/València,13,10,10,10,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,149.616934310324
1,877,Sevilla,41091,Sevilla,15,0,10,10,.844412549663495,.84255534768847,0,Power plant Puente Nuevo,Córdoba,120.312972794418
1,876,Usurbil,20073,Guipúzcoa,4,4,10,8,.749434257506473,.747785950901192,0,Power plant Escatrón,Teruel,262.254264409995
1,873,León,24089,León,9,8,8,8,1.99172946252947,1.98734885035951,0,Power plant La Robla,León,27.1998108525869
1,872,Donostia/San Sebastián,20069,Guipúzcoa,4,4,3,8,1.42673012691829,1.42359217496507,0,Power plant Escatrón,Teruel,260.985678234066
1,871,Zamora,49275,Zamora,9,1,8,7,1.99172946252947,1.98734885035951,0,Power plant Compostilla II,León,136.575245543317
1,870,Palencia,34120,Palencia,9, ,8, ,1.42673012691829,1.42359217496507,0,Power plant Velilla,Palencia,97.6322866528864
1,869,Madrid,28079,Madrid,8,9,8,9,1.00960602148161,1.00738549278644,0,Power plant de Puertollano,Ciudad Real,204.990347131533
1,868,Madrid,28079,Madrid,8,4,4,7,.835342402617764,.833505149535036,0,Power plant de Puertollano,Ciudad Real,204.990347131533
1,867,Puerto Real,11028,Cádiz,15,10,10,0,1.34271693364885,1.33976376041372,0,Power plant Los Barrios,Cádiz,66.6056489895539
1,866,Azuqueca de Henares,19046,Guadalajara,10,7,9,4,1.71991584484558,1.71613305987253,0,Power plant de Puertollano,Ciudad Real,224.328802039767
